timestamp,tweetID,handle,address
1608056072431,1338910142859862017,MonetSupply,0x8d07d225a769b7af3a923481e1fdf49180e6a265
1608057011030,1338914205643071488,pmriviere,0x4306d8e8ac2a9c893ac1cd137a0cd6966fa6b6ff
1608058130910,1338918902475079683,rleshner,0x88fb3d509fc49b515bfeb04e23f53ba339563981
1608058387110,1338919992616775686,nick_emmons,0x965b813b302dfccdf6c2f676d59d7d3c960d3582
1608058403880,1338920072983658498,Flynnjamm,0x565b93a15d38acd79c120b15432d21e21ed274d6
1608060250313,1338927812410007559,gauntletnetwork,0x6626593c237f530d15ae9980a95ef938ac15c35c
1608062360765,1338936680053534720,MirageLight,0xf7476db5b717ac661c027e684456115ab1e728c3
1608062625077,1338937192442286081,cryptonuker,0x46b8ffc41f26cd896e033942caf999b78d10c277
1608062675885,1338937991402754050,vintash121,0x8acc5677f98b86c407bfa7861f53857430ba3904
1608062796365,1338937957810630666,10urcglyn,0x94781785918136b8431ec375477ae7d997aea50d
1608063691308,1338941942563004420,dumanalic1,0x08e08ceba47dc739c47dd1df2d025e17685ac62a
1608064008318,1338943588613246976,transmissions11,0x7ed52863829ab99354f3a0503a622e82acd5f7d3
1608064310380,1338944835118653452,Mirat19702622,0x88e3e8078bec5759464175c83c98db9171f7e13d
1608064611048,1338946101253185536,mirshko,0xf6fdee29e3a14610fdbe187e2d3442543cfa45b8
1608065424913,1338949249581498368,10urcglyn,0x7df8a338e7e0786dc3e3a23680f5161d1b5d94b9
1608065709353,1338949195328225280,Dharma_HQ,0x7e4a8391c728fed9069b2962699ab416628b19fa
1608066186948,1338952682321694723,bitethbch,0x1ed7fe6ac89c502af85ba400a2b5a6ea6eea975f
1608066303267,1338953180760186880,feux07,0xc20c9688e2334796c420cfe9fb6297eb0b9ac80d
1608066480086,1338953927052521472,Linggarsetiawa5,0x93c52cdb6713b86ff4334324ee8c355060eb7269
1608066502159,1338953985697472523,unstopablcrypto,0xf987eb73d928b80ff1477935ae894d046ac600a7
1608067111043,1338956527605051396,atila_o_huno,0x63c9a867d704df159bbbb88eeee1609196b1995e
1608068056344,1338960550609498112,Thebagci1,0xf85ae009145f390d2acd5d9db8c3f5515dd6df28
1608068234590,1338960996451446792,bitethbch,0x52f669cfb37f8142f81d631b50af015d996ad3d1
1608068445938,1338961928580968455,abeseba1,0x08c2828ec23eaa2434861cedf8469572c2fd2ea7
1608069231093,1338965457836109831,goodgamegold,0x7feebd9f278f36bf2900b7580805339e9167e3b6
1608069989955,1338968660417900545,blakeburrito,0x6e9a88971e957abb41bae4e2677cae258f0c1e76
1608070462393,1338970657661521921,olagdev,0x4899d66105fd0f22a4a11dff6bc855b1baba3b99
1608077761663,1339001262625447939,nkennethk,0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1
1608079442073,1339008265640800259,Yinz1020,0x72da0b8a1b932c8a2cc9dcf8c28642290220aec4
1608079771268,1339009683403669505,ItTennisBowling,0xc3aae58ab81663872dd36d73613eb295b167f546
1608082217573,1339019962577526786,Michell68815563,0x95efb7ce9d9cade588d3a9856e5918206b50450d
1608083933856,1339027131196588032,canhua3377,0xc8350eb3eeedb3fbdf0c2fabd75192e5c952fca6
1608084301408,1339028652877443075,uniswappub,0x63abd81b0dbdc35dca424499aac193b118d30ab1
1608085234688,1339032588267163653,cyber_grinder,0x3a3d1fc99679343535d56374a42b3e96669913fe
1608091907297,1339059843185840129,nathsman,0x017d05ea6e31a91dc4435fba7b8f95a069577d7a
1608092992929,1339065098078318595,heartlightalife,0x09909f60366080884af0721c3e37dfc094dcf2a9
1608094659618,1339071952879759362,kerryoctave,0xf7e093bab684c3f31a195df8f2522c7fa60e4d6a
1608095025216,1339073638792798211,jen0790,0x2864738984b3caa176132e6983fe1291dcd355d0
1608095099609,1339073939180453890,hsuantingchu,0xa9cf3ed132fbe9844613d4934abc5a5fe52c3e9b
1608097557711,1339084277250576385,REN83076123,0x4c52276b22f2f09060339eeeff1bd6df8fecb6a5
1608099518525,1339092513353678848,acatlucky,0x9ac41e441131d8bad5f165c2a8dd71e5f7bfaea8
1608100300026,1339095687242215424,v2eth,0x6e4246b05d45440e1432a8fa4f5271cfb8c28246
1608102340206,1339104349364998145,wawanpezex,0x24a30a52164ae66c77fdeab00ead1aed2c7573e0
1608103061550,1339107353048752128,TaoSuDAO,0xb68f52fe2583b5a568e7e57dc98c69d93821f6e4
1608103295637,1339108333714690053,ruyan768,0x186bad94057591918c3265c4ddb12874324be8ac
1608103493581,1339109185821102081,leifengcrypto,0x14ce500a86f1e3ace039571e657783e069643617
1608106936621,1339123570266550272,cryptothinks1,0x879901650ebd44641bff962a051b15a9840b3567
1608107843751,1339127340887052288,eugent_biraci,0x0196e345987bb68a19a9254ddfb23287c8966a82
1608108248485,1339129037483020289,eugent_biraci,0xc6c86e890a7a1f0bb0d5ba2888207f2b6f72fae5
1608108557316,1339130390636711936,RudyFreed,0x159971f898c5c373f8f2183bcb2afe5eb43f74e1
1608110063875,1339136612215578626,marchiano03,0x1398d04556e076755f7c7146a9d9c2a2abb32c83
1608120596285,1339180930972454914,SolidityDev,0x523b5b2cc58a818667c22c862930b141f85d49dd
1608124256713,1339196266862026757,mirrormirage0,0x14288773c9df9a1b669de2324187f678d7c1ab4b
1608125297558,1339200540702461953,TranMin66740802,0x6a6ec6bb05a416bc1bab26c8628a68dcb1c76d38
1608130905917,1338960165597376512,PhongNg60911665,0xd950c92cb59c5a2bcebf0614a9b2e05d029b28fa
1608130990709,1339224500894920704,AlyOAly,0x14381dd7301b775e2a31e1a767dc9d8b755a8ebe
1608132355812,1339230247955427328,HiturunkE,0x0be0ecc301a1c0175f07a66243cff628c24db852
1608138813373,1339257320484855812,ekipekip3,0x0a96f04f41afdeb1f84516864fee36545562f09d
1608141453681,1339268358563389442,undefinedza,0x34a903636158a5e5929a6cb87171c7e0dd2ba6b9
1608146238305,1339288467365228544,mohsen_ghajar,0xa018feb6840781436e5440de92f91659bce036b6
1608149991116,1339304216897183748,Arr00c,0x2b384212edc04ae8bb41738d05ba20e33277bf33
1608151059526,1339308631691583488,Souinfo2,0x1e0325e7661f8ef11a8ca019118c96107e275043
1608156745216,1339332548451700736,Michael14401260,0xd2f6f20cbba3139bb53c09d69c270d20eb93831c
1608157294420,1339334761970589700,zimmah,0x66346e9b773836c4d218bbe82e8918cc5b10e62f
1608164844834,1339366499245584388,zfogg,0x276adf94808668338ff61df00d63c2f8ce056206
1608169862326,1339387489954508802,jacobb20970,0xe2cc777d59b4d354ff1d55add7579726d04430c0
1608170010197,1339387800529952768,feizylong,0xc64d769eb79d35246b45813365a99c8e92c694a3
